	gene-3	gene-2	gene-1	gene0	gene1	gene2	gene3
Kp_2_HUC	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
Kp4884		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase		
Kp_33_HUC	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
5173	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	hypothetical protein	
3577	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
Kp4297			integrase/recombinase	Beta-lactamase	class A extended-spectrum beta-lactamase OXY-2-12		
Kp5526	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
3822		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase		
Kp2895		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
Kp5530		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
5175	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	hypothetical protein	
3829		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
Kp5519	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
6_HUC	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
5164		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	hypothetical protein	conjugal transfer protein TraG
Kp5522		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
5151	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	hypothetical protein	
3807		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
3836-2		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
5157		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
5159		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
5155	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	hypothetical protein	
3835	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
5163			ATPase AAA	Beta-lactamase	putative transposase	transposase	
Kp_5_HUC	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
5152	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	hypothetical protein	
3769	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
Kp4882		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase		
5167		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	hypothetical protein	conjugal transfer protein TraG
3719	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase		
5148			ATPase AAA	Beta-lactamase	putative transposase	transposase	integrase
3764	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
2999		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
4967	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
Kp748		hypothetical protein	integrase/recombinase	Beta-lactamase	Aminoglycoside N(6')-acetyltransferase type 1	replication protein C	replication protein A
3825	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase		
3749		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
Kp_10_HUC	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
Kp5520	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
5142		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	hypothetical protein	conjugal transfer protein TraG
3854	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
3826		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
Kp_25_HUC	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
Kp_28_HUC		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
5161	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	hypothetical protein	
3718	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
Kp5514	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
5162			ATPase AAA	Beta-lactamase	putative transposase	transposase	integrase
5141		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	hypothetical protein	conjugal transfer protein TraG
2727		hypothetical protein	integrase/recombinase	Beta-lactamase			
4966	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
5166		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
3833		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
Kp4885	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase		
Kp_4981		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
5150		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase		
Kp5509		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
5172	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
3788	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
5147			ATPase AAA	Beta-lactamase	putative transposase		
Kp_14_HUC		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
Kp_29_HUC	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
Kp_8_HUC	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
3827	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase		
Kp_4982	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
3840		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
Kp3725		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase		
3109	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
3666		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase		
5174	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	hypothetical protein	
Kp5516		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
3586	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
5156	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
3090	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
Kp5524		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
5168		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
3778	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
4106	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
Kp4886		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase		
3051		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
3828		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase		
Kp_31_HUC		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
2955		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
Kp5513	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
Kp_7_HUC		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
5160		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	hypothetical protein	conjugal transfer protein TraG
5158		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	hypothetical protein	conjugal transfer protein TraG
5149			ATPase AAA	Beta-lactamase	transposase	CHRB protein	
Kp3046		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
3779		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
3823				Beta-lactamase			
Kp_30_HUC	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
Kp_26_HUC		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
5153		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase		
Kp4887	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase		
Kp2564		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase		
12_HUC		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
3783	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
Kp5504		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
3389	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase		
Kp_4028		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
3084		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
Kp4852		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
5144	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	hypothetical protein	
Kp5521	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
2954		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
5169		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	hypothetical protein	conjugal transfer protein TraG
Kp5523		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
Kp5508	transposase	Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	
4968		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
3836		Transposase	RM-I-R-AphORF344P	Beta-lactamase	transposase	CHRB protein	hypothetical protein
